,date,ticker,sentiment
806,2023-03-01,msft,1
807,2023-03-01,msft,0
808,2023-03-01,msft,-1
809,2023-02-28,msft,0
810,2023-02-28,msft,0
811,2023-02-28,msft,0
812,2023-02-28,msft,0
813,2023-02-27,msft,0
814,2023-02-27,msft,0
815,2023-02-27,msft,0
816,2023-02-27,msft,0
817,2023-02-27,msft,1
818,2023-02-27,msft,0
819,2023-02-27,msft,-1
820,2023-02-27,msft,0
821,2023-02-26,msft,1
822,2023-02-26,msft,1
823,2023-03-01,msft,0
824,2023-02-26,msft,0
825,2023-02-26,msft,1
826,2023-02-25,msft,1
827,2023-02-24,msft,0
828,2023-02-24,msft,0
829,2023-02-24,msft,1
830,2023-02-24,msft,0
831,2023-02-24,msft,0
832,2023-02-24,msft,0
833,2023-02-23,msft,0
834,2023-02-23,msft,0
835,2023-02-23,msft,0
836,2023-02-23,msft,0
837,2023-02-23,msft,-1
838,2023-02-23,msft,0
839,2023-02-23,msft,0
840,2023-02-23,msft,0
841,2023-02-23,msft,0
842,2023-02-22,msft,1
843,2023-02-22,msft,0
844,2023-02-22,msft,1
845,2023-02-22,msft,-1
846,2023-02-22,msft,0
847,2023-02-22,msft,1
848,2023-02-22,msft,-1
849,2023-02-22,msft,-1
850,2023-02-22,msft,0
851,2023-02-22,msft,0
852,2023-02-22,msft,1
853,2023-02-22,msft,0
854,2023-02-22,msft,0
855,2023-02-22,msft,0
856,2023-02-22,msft,1
857,2023-02-22,msft,0
858,2023-02-22,msft,-1
859,2023-02-22,msft,0
860,2023-02-22,msft,0
861,2023-02-22,msft,0
862,2023-02-22,msft,0
863,2023-02-22,msft,0
864,2023-02-22,msft,0
865,2023-02-22,msft,1
866,2023-02-22,msft,0
867,2023-02-22,msft,0
868,2023-02-22,msft,0
869,2023-02-21,msft,0
870,2023-02-21,msft,1
871,2023-02-21,msft,0
872,2023-02-21,msft,1
873,2023-02-21,msft,0
874,2023-02-21,msft,-1
875,2023-02-21,msft,1
876,2023-02-21,msft,-1
877,2023-03-01,msft,0
878,2023-03-02,msft,1
879,2023-02-21,msft,1
880,2023-02-21,msft,0
881,2023-02-21,msft,0
882,2023-02-21,msft,1
883,2023-03-02,GC=F,-1
884,2023-03-02,GC=F,1
885,2023-03-02,GC=F,1
886,2023-03-02,GC=F,0
887,2023-03-01,GC=F,0
888,2023-03-01,GC=F,-1
889,2023-03-01,GC=F,0
890,2023-03-01,GC=F,0
891,2023-02-28,GC=F,-1
892,2023-02-28,GC=F,0
893,2023-02-28,GC=F,1
894,2023-02-27,GC=F,-1
895,2023-02-27,GC=F,0
896,2023-02-24,GC=F,1
897,2023-02-24,GC=F,-1
898,2023-02-24,GC=F,0
899,2023-02-23,GC=F,-1
900,2023-02-23,GC=F,0
901,2023-02-23,GC=F,0
902,2023-02-22,GC=F,0
903,2023-02-22,GC=F,-1
904,2023-02-21,GC=F,0
905,2023-02-21,GC=F,0
906,2023-02-18,GC=F,0
907,2023-02-18,GC=F,1
908,2023-02-17,GC=F,0
909,2023-02-17,GC=F,0
910,2023-02-16,GC=F,1
911,2023-02-16,GC=F,-1
912,2023-02-16,GC=F,-1
913,2023-02-16,GC=F,0
914,2023-02-15,GC=F,-1
915,2023-02-15,GC=F,0
916,2023-02-14,GC=F,0
917,2023-02-14,GC=F,0
918,2023-02-14,GC=F,-1
919,2023-02-14,GC=F,0
921,2023-03-02,GC=F,1
922,2023-03-02,GC=F,-1
923,2023-03-02,GC=F,-1
924,2023-03-02,GC=F,0
925,2023-03-02,GC=F,0
926,2023-03-02,GC=F,-1
927,2023-03-02,GC=F,0
928,2023-03-02,GC=F,-1
929,2023-03-01,GC=F,0
930,2023-03-01,GC=F,0
931,2023-03-01,GC=F,-1
932,2023-03-01,GC=F,1
933,2023-03-01,GC=F,0
934,2023-03-01,GC=F,0
935,2023-03-01,GC=F,0
936,2023-03-01,GC=F,-1
937,2023-03-01,GC=F,0
938,2023-03-01,GC=F,0
939,2023-03-01,GC=F,0
940,2023-03-01,GC=F,1
941,2023-03-01,GC=F,0
942,2023-02-28,GC=F,1
943,2023-02-28,GC=F,-1
944,2023-02-28,GC=F,0
945,2023-02-28,GC=F,-1
946,2023-02-28,GC=F,0
947,2023-02-28,GC=F,0
948,2023-02-28,GC=F,-1
949,2023-02-28,GC=F,1
950,2023-02-28,GC=F,0
951,2023-02-27,GC=F,0
952,2023-02-27,GC=F,-1
953,2023-02-27,GC=F,1
954,2023-02-27,GC=F,-1
955,2023-02-27,GC=F,-1
956,2023-02-27,GC=F,0
957,2023-02-27,GC=F,-1
958,2023-02-27,GC=F,0
959,2023-02-27,GC=F,0
960,2023-02-27,GC=F,1
961,2023-02-27,GC=F,1
962,2023-02-27,GC=F,-1
963,2023-02-27,GC=F,-1
964,2023-02-27,GC=F,0
965,2023-02-27,GC=F,0
966,2023-02-26,GC=F,1
967,2023-02-26,GC=F,0
968,2023-02-26,GC=F,0
969,2023-02-25,GC=F,-1
970,2023-02-24,GC=F,1
971,2023-02-24,GC=F,-1
